timestamp;metodo;endpoint;status_code;latencia_ms;categoria;tipo_status;nivel_latencia;porcentagem_Volume;p95_latencia;variacao_latencia
2026-05-14 01:52:51;POST;/api/b3/orders;500;1800;ordens;erro_servidor;alta;0;1800.0;0
2026-05-14 01:52:51;GET;/api/market/news;500;700;mercado;erro_servidor;alta;0;1800.0;0
2026-05-14 01:52:51;GET;/api/portfolio/performance;504;70;trades;erro_servidor;normal;0;1800.0;0
2026-05-14 01:52:51;POST;/api/orders/validate;422;3000;ordens;erro_cliente;critica;0;1800.0;0
2026-05-14 01:52:51;POST;/api/auth/login;500;2500;trades;erro_servidor;critica;0;1800.0;0
2026-05-14 01:52:51;POST;/api/b3/orders;500;1800;ordens;erro_servidor;alta;0;1800.0;0
2026-05-14 01:52:51;POST;/api/risk/check;200;700;trades;sucesso;alta;0;1800.0;0
2026-05-14 01:52:51;GET;/api/trades/summary;200;3100;trades;sucesso;critica;0;1800.0;0
2026-05-14 01:52:51;POST;/api/orders/sell;504;1600;ordens;erro_servidor;alta;0;1800.0;0
2026-05-14 01:52:51;GET;/api/market/news;500;700;mercado;erro_servidor;alta;0;1800.0;0
2026-05-14 01:52:56;POST;/api/b3/orders;500;1800;ordens;erro_servidor;alta;0;1800.0;0
2026-05-14 01:52:56;GET;/api/market/news;500;700;mercado;erro_servidor;alta;0;1800.0;0
2026-05-14 01:52:56;GET;/api/portfolio/performance;504;70;trades;erro_servidor;normal;0;1800.0;0
2026-05-14 01:52:56;POST;/api/orders/validate;422;3000;ordens;erro_cliente;critica;0;1800.0;0
2026-05-14 01:52:56;POST;/api/auth/login;500;2500;trades;erro_servidor;critica;0;1800.0;0
2026-05-14 01:52:56;POST;/api/b3/orders;500;1800;ordens;erro_servidor;alta;0;1800.0;0
2026-05-14 01:52:56;POST;/api/risk/check;200;700;trades;sucesso;alta;0;1800.0;0
2026-05-14 01:52:56;GET;/api/trades/summary;200;3100;trades;sucesso;critica;0;1800.0;0
