timestamp;metodo;endpoint;status_code;latencia_ms;categoria
2026-05-09 20:18:33.602852;POST;/api/risk/check;200;130;carteira
2026-05-09 20:18:33.602852;POST;/api/deposits;201;180;carteira
2026-05-09 20:18:33.602852;GET;/api/market/news;200;90;carteira
2026-05-09 20:18:33.602852;GET;/api/account/balance;200;45;carteira
2026-05-09 20:18:33.602852;DELETE;/api/orders/cancel;200;160;carteira
2026-05-09 20:18:33.602852;GET;/api/b3/session-status;200;85;carteira
2026-05-09 20:18:33.602852;POST;/api/orders/sell;503;2800;carteira
2026-05-09 20:18:33.602852;POST;/api/risk/check;200;130;carteira
2026-05-09 20:18:33.602852;GET;/api/market/orderbook/PETR4;504;3200;carteira
2026-05-09 20:18:33.602852;GET;/api/b3/session-status;200;85;carteira
2026-05-09 20:18:33.602852;GET;/api/trades/summary;200;110;carteira
2026-05-09 20:18:33.602852;GET;/api/market/orderbook/PETR4;504;3200;carteira
2026-05-09 20:18:33.602852;POST;/api/risk/check;200;130;carteira
2026-05-09 20:18:33.602852;POST;/api/orders/sell;503;2800;carteira
2026-05-09 20:18:33.602852;POST;/api/order-preview;200;140;carteira
2026-05-09 20:18:33.602852;POST;/api/b3/orders;504;4000;carteira
2026-05-09 20:18:33.602852;GET;/api/market/news;200;90;carteira
2026-05-09 20:18:33.602852;GET;/api/b3/session-status;200;85;carteira
2026-05-09 20:18:33.602852;GET;/api/trades/summary;200;110;carteira
2026-05-09 20:18:33.602852;POST;/api/deposits;201;180;carteira
2026-05-09 20:18:33.602852;GET;/api/portfolio;200;50;carteira
2026-05-09 20:18:33.602852;POST;/api/orders/sell;503;2800;carteira
2026-05-09 20:18:33.602852;POST;/api/order-preview;200;140;carteira
2026-05-09 20:18:33.602852;POST;/api/b3/orders;504;4000;carteira
2026-05-09 20:18:33.602852;GET;/api/market/news;200;90;carteira
2026-05-09 20:18:33.602852;GET;/api/b3/session-status;200;85;carteira
2026-05-09 20:18:33.602852;GET;/api/market/news;200;90;carteira
2026-05-09 20:18:33.602852;POST;/api/risk/check;200;130;carteira
2026-05-09 20:18:33.602852;POST;/api/auth/logout;200;80;carteira
2026-05-09 20:18:33.602852;GET;/api/trades;200;95;carteira
2026-05-09 20:18:33.602852;POST;/api/auth/login;200;120;carteira
2026-05-09 20:18:33.602852;POST;/api/orders/validate;422;170;carteira
2026-05-09 20:18:33.602852;POST;/api/risk/check;200;130;carteira
2026-05-09 20:18:33.602852;GET;/api/portfolio/performance;200;70;carteira
2026-05-09 20:18:33.602852;DELETE;/api/orders/cancel;200;160;carteira
2026-05-09 20:18:33.602852;GET;/api/trades;200;95;carteira
2026-05-09 20:18:33.602852;GET;/api/market/news;200;90;carteira
2026-05-09 20:18:33.602852;GET;/api/portfolio/performance;200;70;carteira
2026-05-09 20:18:33.602852;POST;/api/risk/check;200;130;carteira
2026-05-09 20:18:33.602852;GET;/api/portfolio/performance;200;70;carteira
2026-05-09 20:18:33.602852;GET;/api/portfolio/performance;200;70;carteira
